frame,time_s,vehicle_id,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence
22,0.733,8,car,687.8,325.7,723.8,356.4,705.8,341.1,0.639
22,0.733,7,car,277.8,403.4,351.4,451.8,314.6,427.6,0.696
22,0.733,10,car,510.4,313.7,544.0,343.1,527.2,328.4,0.511
23,0.767,1,car,824.9,564.6,962.8,709.6,893.9,637.1,0.651
23,0.767,2,car,419.3,381.1,469.4,423.8,444.4,402.5,0.623
23,0.767,4,car,545.7,344.8,582.2,379.2,564.0,362.0,0.59
23,0.767,5,truck,770.5,281.2,847.1,356.5,808.8,318.8,0.538
23,0.767,6,car,379.3,524.6,519.9,616.8,449.6,570.7,0.757
23,0.767,8,car,688.6,327.6,724.8,358.5,706.7,343.1,0.691
23,0.767,7,car,282.3,402.5,353.6,449.2,318.0,425.8,0.615
23,0.767,10,car,510.6,313.5,543.6,342.5,527.1,328.0,0.563
24,0.8,1,car,845.0,584.7,977.2,720.0,911.1,652.3,0.533
24,0.8,2,car,421.3,379.4,471.3,422.2,446.3,400.8,0.731
24,0.8,4,car,546.1,344.1,582.1,377.8,564.1,361.0,0.582
24,0.8,5,truck,771.9,281.5,850.7,359.0,811.3,320.2,0.495
24,0.8,6,car,386.6,518.8,520.6,608.6,453.6,563.7,0.736
24,0.8,8,car,689.2,329.6,725.7,360.8,707.4,345.2,0.658
24,0.8,7,car,286.4,401.4,356.1,447.1,321.2,424.3,0.659
24,0.8,10,car,511.1,313.8,543.1,342.1,527.1,328.0,0.515
24,0.8,17,bus,773.2,283.7,849.7,358.2,811.4,320.9,0.494
25,0.833,1,car,869.8,606.4,990.6,720.0,930.2,663.2,0.655
25,0.833,2,car,423.1,377.3,473.2,420.4,448.2,398.9,0.733
25,0.833,4,car,546.6,343.5,582.5,377.0,564.6,360.2,0.53
25,0.833,5,bus,773.4,283.7,852.2,361.1,812.8,322.4,0.565
25,0.833,6,car,393.6,512.5,521.3,599.7,457.5,556.1,0.774
25,0.833,8,car,689.5,331.4,727.5,364.0,708.5,347.7,0.58
25,0.833,7,car,289.4,400.0,358.8,445.8,324.1,422.9,0.661
25,0.833,10,car,511.5,313.4,543.1,341.6,527.3,327.5,0.484
26,0.867,1,car,891.3,632.6,992.8,720.0,942.0,676.3,0.655
26,0.867,2,car,425.4,376.5,473.9,418.3,449.6,397.4,0.689
26,0.867,4,car,548.0,342.7,582.3,374.6,565.1,358.6,0.508
26,0.867,5,bus,775.8,285.0,856.1,363.7,815.9,324.4,0.571
26,0.867,6,car,399.4,508.1,521.3,592.9,460.4,550.5,0.746
26,0.867,8,car,690.7,333.7,729.3,366.6,710.0,350.2,0.589
26,0.867,7,car,293.3,397.3,360.6,441.8,327.0,419.6,0.659
26,0.867,10,car,512.2,313.5,542.9,341.0,527.5,327.3,0.493
27,0.9,1,car,897.4,641.2,993.9,720.0,945.6,680.6,0.659
27,0.9,2,car,426.1,376.3,474.0,417.6,450.1,396.9,0.688
27,0.9,4,car,548.3,342.3,582.3,373.8,565.3,358.1,0.511
27,0.9,5,bus,776.6,285.5,857.6,364.6,817.1,325.1,0.572
27,0.9,6,car,401.9,506.7,520.7,590.6,461.3,548.7,0.748
27,0.9,8,car,691.1,334.5,729.9,367.6,710.5,351.0,0.591
27,0.9,7,car,294.5,396.4,361.1,440.4,327.8,418.4,0.657
27,0.9,10,car,512.4,313.5,542.9,340.9,527.6,327.2,0.488
28,0.933,2,car,428.0,375.2,476.6,417.0,452.3,396.1,0.741
