vehicle_id,frame,speed_kmh,lane_id,class
4,11,21.33,unknown,car
4,26,23.56,unknown,car
4,38,119.96,unknown,car
4,43,54.68,unknown,car
5,7,26.32,right_carriageway_lane3,truck
5,8,29.45,right_carriageway_lane3,truck
5,10,20.34,right_carriageway_lane3,truck
5,11,21.85,right_carriageway_lane3,truck
5,12,30.23,right_carriageway_lane3,truck
5,13,29.86,right_carriageway_lane3,truck
5,14,27.44,right_carriageway_lane3,truck
5,17,36.78,right_carriageway_lane3,truck
5,19,20.12,right_carriageway_lane3,truck
5,20,22.17,right_carriageway_lane3,truck
5,24,29.48,right_carriageway_lane3,truck
5,25,42.49,right_carriageway_lane3,bus
5,26,39.84,right_carriageway_lane3,bus
5,30,57.4,right_carriageway_lane3,truck
5,32,41.77,right_carriageway_lane3,bus
5,34,23.31,right_carriageway_lane3,truck
5,35,32.77,right_carriageway_lane3,truck
5,40,147.14,right_carriageway_lane3,truck
5,42,72.83,right_carriageway_lane3,truck
5,44,66.83,right_carriageway_lane3,bus
5,46,28.57,right_carriageway_lane3,bus
5,47,32.9,right_carriageway_lane3,bus
5,48,34.54,right_carriageway_lane3,bus
5,49,47.51,right_carriageway_lane3,bus
5,50,41.41,right_carriageway_lane3,bus
5,52,28.8,right_carriageway_lane3,truck
5,53,38.0,right_carriageway_lane3,bus
5,54,36.89,right_carriageway_lane3,truck
5,55,52.86,right_carriageway_lane3,bus
5,56,40.88,right_carriageway_lane3,bus
5,58,27.15,right_carriageway_lane3,bus
5,59,47.36,right_carriageway_lane3,bus
5,60,57.81,right_carriageway_lane3,bus
5,61,54.73,right_carriageway_lane3,bus
5,62,51.42,right_carriageway_lane3,bus
5,64,36.43,right_carriageway_lane3,bus
5,65,45.06,right_carriageway_lane3,bus
5,66,50.71,right_carriageway_lane3,bus
5,67,56.74,right_carriageway_lane3,bus
5,68,51.19,right_carriageway_lane3,bus
5,70,47.32,right_carriageway_lane3,bus
5,71,66.26,right_carriageway_lane3,bus
5,72,54.65,unknown,bus
5,73,57.88,unknown,bus
5,74,57.92,unknown,bus
5,75,20.88,unknown,bus
5,76,50.68,unknown,bus
5,77,72.69,unknown,bus
5,78,61.4,unknown,truck
5,79,70.02,unknown,bus
5,80,66.28,unknown,bus
5,81,24.48,unknown,bus
5,82,63.04,unknown,truck
5,83,85.12,right_carriageway_lane3,truck
5,85,80.4,right_carriageway_lane3,bus
5,90,63.17,right_carriageway_lane3,bus
6,11,20.5,unknown,car
6,12,28.13,unknown,car
6,13,35.98,unknown,car
6,14,36.84,unknown,car
6,16,28.37,unknown,car
6,17,34.14,unknown,car
6,18,36.44,unknown,car
6,19,36.77,unknown,car
6,20,35.83,unknown,car
6,22,25.18,unknown,car
6,23,28.17,unknown,car
6,24,33.9,unknown,car
6,25,37.83,unknown,car
6,26,28.66,unknown,car
6,28,25.85,unknown,car
6,29,30.18,unknown,car
6,30,36.0,unknown,car
6,31,32.56,unknown,car
6,32,36.61,unknown,car
6,35,27.96,unknown,car
6,36,23.25,unknown,car
6,37,35.68,unknown,car
6,38,32.65,unknown,car
6,41,25.21,unknown,car
6,42,28.51,unknown,car
6,43,26.21,unknown,car
6,44,29.64,unknown,car
6,47,26.59,unknown,car
6,48,25.19,unknown,car
6,49,31.12,unknown,car
6,53,25.29,unknown,car
6,54,23.17,unknown,car
6,55,31.19,unknown,car
6,56,31.81,unknown,car
6,59,24.92,unknown,car
6,60,20.8,unknown,car
6,61,21.97,unknown,car
6,62,21.33,unknown,car
6,65,24.82,unknown,car
6,66,21.41,unknown,car
6,67,31.44,unknown,car
6,68,26.98,unknown,car
6,74,24.7,unknown,car
6,78,20.94,unknown,car
6,80,26.86,unknown,car
6,86,27.3,unknown,car
6,92,25.14,unknown,car
6,95,25.53,unknown,car
6,102,22.99,unknown,car
